Country,Access to electricity (% of population),"Birth rate, crude (per 1,000 people)",Domestic private health expenditure (% of current health expenditure),"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",Expense (% of GDP),"Fertility rate, total (births per woman)",Fixed broadband subscriptions (per 100 people),GDP (current US$),GDP per capita (current US$),Government Effectiveness: Estimate,Gross national expenditure (% of GDP),Gross savings (% of GDP),Human capital index (HCI) (scale 0-1),"Intentional homicides (per 100,000 people)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (current USD),Mobile cellular subscriptions (per 100 people),Net migration,Population ages 65 and above (% of total population),Proportion of seats held by women in national parliaments (%),Refugee population by country or territory of asylum,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Total reserves minus gold (current US$),Unemployment with basic education (% of total labor force with basic education),Urban population (% of total population)
Afghanistan,97.7,36.051,76.23153687,7.339715004,,4.75,0.0680079,19955929052,510.7870634,-1.611539483,125.9125668,-2.737769441,0.400284141,6.594439084,42.596,62.575,,279576954.9,58.1902139,143634,2.370733824,27.01612903,72278,0.011,8419488004,11.103,26.026
Albania,100,10.285,59.47789383,,24.60481616,1.4,17.7209,15241458745,5370.778623,-0.155121222,114.439197,17.65721449,0.634250939,2.127772012,67.153,76.989,,196596309,91.35050062,-16680,14.76700441,29.50819672,105,4.47,4647187149,9.346,62.112
Algeria,99.7,22.431,38.9657402,,,2.942,8.60645,1.65E+11,3743.541952,-0.573643208,109.3193543,33.33708651,0.534556448,1.505120655,42.922,74.453,,9708277440,104.842178,-10798,5.894088907,25.75757576,97651,0.54,48882051110,,73.733
American Samoa,,12.7,,,,,,721000000,14489.25866,0.632649243,,,,,,,,,,-653,6.36536278,,,,,,87.153
Andorra,100,,27.38309097,,,,48.656,2891001149,37361.09007,1.749241352,,,,2.574002574,,,,,103.4491634,572,14.2168519,46.42857143,,9.68,,,87.916
Angola,47,39.271,41.67828369,,,5.371,0.363264,48501561204,1449.922867,-1.257484555,89.31294745,28.06598155,0.36240539,,75.686,62.261,,993594404.6,43.81009059,7556,2.725608767,30,25791,4.13,13781988140,,66.825
Antigua and Barbuda,100,12.16,37.58075714,,,1.569,8.71023,1410796296,15360.45442,-0.204794809,,,0.5957039,9.712509713,,78.841,,,198.5668652,0,9.863249352,11.11111111,,6.66,221808945.9,,24.433
Argentina,100,14.125,35.73628998,,25.84053076,1.911,21.1798,3.86E+11,8535.59938,-0.254261822,96.99286993,15.01213532,0.602144718,5.366813844,63.716,75.892,,2830929705,121.6001889,292,11.79343399,40.85603113,3965,8.05,35649970286,14.823,92.111
Armenia,100,12.455,79.64,96,26.58128778,1.575,14.8884,12641698583,4268.680933,-0.304547429,109.9588337,15.65573239,0.578998804,1.85343037,72.624,72.173,100,633960400.1,124.3508359,-13046,12.34328153,23.48484848,107910,4.28,2615530571,7.806,63.313
Aruba,100,8.102,,,,1.325,17.6909,2481857123,22855.93232,1.074959755,118.1520584,1.355998493,,,,75.723,97.98999786,,132.2887836,0,14.57674778,,,,1023468720,,43.697
Australia,100,11.5,26.31917,94.58000183,30.25519475,1.581,35.3468,1.33E+12,51791.54018,1.573353291,96.61102821,23.44666015,0.770239532,0.860925459,77.886,83.2,,27300894701,105.231579,44447,16.33872028,30.46357616,57411,10.29,39151995865,10.905,86.241
Austria,100,9.4,23.26,98.72141266,50.62958925,1.44,29.2106,4.34E+11,48716.40989,1.605863214,96.55271531,29.29707518,0.746739745,0.729699453,76.493,81.19268293,,3840077511,120.3155961,39601,19.16978884,39.3442623,141816,11.51,13415880225,11.533,58.748
Azerbaijan,100,12.5,59.95,,33.93147657,1.7,19.5986,42693000000,4229.910649,-0.155263707,100.7707559,23.56898183,0.577767551,2.236277062,73.286,66.868,,2237764706,100.577047,1073,6.883368543,17.3553719,1572,2.49,7775084753,15.51,56.397
"Bahamas, The",100,11.49,38.95568085,,26.89225786,1.394,20.9668,9958200000,25155.67254,0.405258924,108.092828,9.458804681,,17.95943873,75.997,72.677,,,114.6450432,0,10.97641226,12.82051282,15,3.65,2382077961,,83.245
Bahrain,100,12.621,37.03927231,79.90000153,26.10851218,1.832,10.1824,35837632979,24342.84446,0.390440106,94.55226179,28.24173745,0.652472019,0,71.556,79.174,,1404787234,119.86485,-5048,3.278892465,15,256,1.25,2239408657,,89.506
Bangladesh,96.2,18.053,76.54676056,,8.148320246,2.003,6.04506,3.74E+11,2248.850788,-0.779491305,104.2303389,37.18886621,0.464036435,,62.238,71.968,75,4651183348,105.2911628,-1002522,5.83513578,20.91690544,866534,0.092,42322360139,,38.177
Barbados,100,10.859,49.8569603,,,1.628,45.4387,5168344450,18347.11091,0.443785101,,,,14.60670555,75.29,77.393,,,105.0970277,0,14.77096039,20,,8.22,1358013876,,31.191
Belarus,100,9.47,28.82,,29.92813968,1.474,34.8152,61371755326,6542.86454,-0.82965821,96.65511184,27.46986029,0.700078189,,78.521,72.45721951,,861053278.7,121.490553,-33954,15.73378581,40,2900,11.63,4426887098,11.043,79.483
Belgium,100,9.9,22.0959034,88.12356567,43.6566053,1.55,41.024,5.30E+11,45906.28758,1.078235269,98.55638016,24.46736247,0.760419667,,68.558,80.69512195,,5317451271,99.72332827,43777,19.22402019,41.33333333,64973,9.43,19470395465,11.62,98.079
Belize,96.8,17.881,26.50695992,54.49000168,,1.999,9.21159,2042850000,5227.193638,-0.603579581,98.78356218,22.69502622,,25.8279831,66.886,72.854,,26025325,66.84898207,64,4.485538425,9.677419355,29,3.67,348090076,32.846,46.025
Benin,41,37.114,58.76353073,,,5.048,0.229385,15651545209,1197.501364,-0.29091385,105.0882925,21.58078176,0.400290728,,75.735,60.088,,71817818.48,88.11818884,1729,3.039964518,7.228915663,1396,8.83,,,48.415
Bermuda,100,8.4,,,,1.4,35.7243,6887147000,106973.1757,1.470093369,72.70968661,39.27455749,,10.93229008,,81.136,,,106.2002186,286,18.82280762,,,,,,100
Bhutan,100,12.65,16.85573578,,24.07615739,1.433,0.414153,2457604334,3191.66907,0.305567265,115.69908,24.44243673,0.475297034,2.459527822,70.089,71.609,,,96.4571149,287,6.018005055,14.89361702,,0.18,1423132618,6.231,42.316
Bolivia,97.2,22.056,24.91402054,58.08000183,,2.651,7.88672,36629843805,3099.94219,-0.726455271,104.958083,12.48226444,,3.493585291,74.657,64.467,94,510495827.3,98.89563329,-4663,5.653597389,46.15384615,1116,3.59,2662435864,6.711,70.123
Bosnia and Herzegovina,100,8.611,29.02,82.73999786,38.36146594,1.359,23.3508,20226036564,6130.311332,-1.075703263,115.7878607,17.85749035,0.579684079,1.295802279,61.053,76.225,,167521865.9,105.7638198,-26840,20.24271754,26.19047619,5232,5.87,8525572339,19.726,49.02
Botswana,71.8,24.195,20.92662621,67.37276459,33.85871112,2.836,3.58604,14960291106,6323.314192,0.167879269,117.4136749,24.18786878,0.414028496,8.678912442,63.789,65.647,,499027479.5,150.3850531,-11330,3.890454072,10.76923077,617,7.27,4940893803,22.216,70.877
Brazil,99.7,13.078,55.37608719,66.66000366,38.48116103,1.649,17.4181,1.48E+12,7074.193783,-0.465709209,99.39497453,14.79332918,0.551497936,22.3840654,67.016,74.009,,19591209004,96.54706819,-78437,9.598664876,14.61988304,59092,7.7,3.52E+11,16.855,87.073
British Virgin Islands,100,7.448,,,,0.976,19.0925,,,,,,,,,75.849,,,113.7593012,888,8.325142388,,,,,,48.515
Brunei Darussalam,100,14.165,5.90841913,83.0430069,,1.796,15.8868,12005799664,26834.35925,1.383309364,89.80041308,50.88599471,0.626391351,,68.171,74.795,,436548223.4,121.4758051,462,5.613501012,9.090909091,,0.51,3721321940,7.673,78.25
Bulgaria,99.7,8.5,38.13,94.87999725,36.50476367,1.56,30.5043,70716821235,10198.53883,-0.214027837,97.47593769,20.68052553,0.613898158,0.988655607,72.296,73.65853659,,1119011540,113.849275,30167,21.6867893,26.66666667,21113,11.62,35377554379,14.127,75.686
Burkina Faso,18.5,36.085,38.38487625,,17.1792424,4.869,0.0650831,17725010533,825.2370388,-0.708106637,97.18604726,20.55645546,0.383691937,,52.713,59.731,,382464677.4,102.7626369,-5661,2.568841549,6.299212598,20252,11.27,,,30.607
Burundi,9.1,35.603,23.26885605,,17.67368864,5.177,0.0335261,2649680261,210.0081399,-1.302482963,117.6747069,10.64926035,0.386170626,,79.019,61.566,,67474092.72,54.26373457,-10189,2.435064781,38.21138211,75461,4.16,88492037.67,0.659,13.708
Cabo Verde,93.7,17.158,22.84387398,,30.8820649,1.908,4.82611,1821565618,3539.22662,0.199302867,127.806713,17.40956171,,6.178772484,59.289,74.808,,11279268.1,93.49323768,-3362,5.982655225,25,,6.01,674569597.4,,66.652
Cambodia,86.4,19.849,66.67436218,30.99681664,12.93758045,2.381,1.3977,34818073901,2081.739142,-0.450370342,101.1128001,35.76127011,0.491589874,,85.369,70.416,,621329326.8,128.6026166,0,5.438736906,20,,6.67,18563829561,0.22,24.232
Cameroon,64.3,35.507,71.84101105,,12.06029395,4.543,2.75682,40773241177,1555.603707,-0.931410909,103.2672935,13.34861877,0.397401512,4.537375241,66.498,60.833,78.23000336,393299390.1,84.36916915,-9888,2.776852366,33.88888889,436396,9.6,3961753887,,57.56
Canada,100,9.5,26.30343819,95.23906708,28.57147361,1.41,40.795,1.66E+12,43537.8393,1.598312855,102.199614,19.461889,0.797520101,2.003235529,77.724,81.6604878,,23082774049,85.40841921,256592,17.98540848,28.99408284,109214,9.89,90428136419,17.026,81.562
Cayman Islands,100,12.4,,,,,46.5902,5655358021,82338.79829,1.074959755,,,,4.456956938,,,,,148.5663349,810,7.447095051,,38,,216800000,,100
Central African Republic,15.4,42.175,50.50315857,,13.97330661,5.985,,2326720900,462.8790713,-1.72879374,126.8773,,0.291631907,,73.145,54.604,37.49000168,44348098.08,34.26900891,-24745,2.200620157,8.571428571,9083,1.75,432524260.9,,42.198
Chad,10.9,43.849,62.42750168,,,6.346,0,10715396042,622.0955434,-1.510737181,115.2980774,,0.299782783,,59.404,52.777,,322866526.5,52.19169152,36605,2.047733371,15.43209877,478649,2.91,390675163.1,,23.52
Channel Islands,100,10.01092845,,,,1.447,,9439810776,56785.94024,,,,,,71.99,81.264,,,,858,18.86600636,,,,,,30.963
Chile,100,11.834,43.7111969,83.05000305,26.24219288,1.537,19.4306,2.54E+11,13114.81547,0.705044687,95.52208308,19.08554868,0.651604176,4.797849279,63.254,79.377,,5246204733,129.8851806,26042,12.62681574,22.58064516,2053,7.56,39151178419,11.226,87.727
China,100,8.52,45.27583313,67.37000275,,1.281,33.907,1.47E+13,10408.71955,0.643971682,98.69712001,43.92641665,0.653102636,0.502270364,74.262,78.077,97,2.58E+11,120.5961882,-91577,12.64523761,24.94117647,303405,4.58,3.24E+12,,61.428
Colombia,99.7,14.435,28.71292496,58.84999847,36.55439348,1.737,15.3363,2.70E+11,5339.687114,0.008475319,107.0110198,14.43746022,0.604330301,24.24276338,68.244,74.769,96,9554131505,132.8719623,227130,8.464125443,18.34319527,957,4.24,58247760145,,81.425
Comoros,85.6,29.896,65.89321136,,,4.052,0.1481,1225039197,1527.16991,-1.643052816,122.3864304,9.941945187,0.404688299,,50.791,64.166,,,96.95013186,-1766,4.467730082,16.66666667,,0.23,293245492.9,,29.38
"Congo, Dem. Rep.",20.1,42.311,46.45769119,,9.078614921,6.206,0.032295,48716961860,507.5212301,-1.74490869,101.2818543,22.441779,0.366369277,,63.601,59.739,,362091615.5,43.93861689,-1633,3.086076218,12.8,490243,1.92,747655324.3,1.635,45.638
"Congo, Rep.",48.7,31.155,45.83368683,,17.79500138,4.234,,11468687464,1993.586672,-1.254402399,87.86853816,36.29299511,0.419265717,,67.743,63.785,,298382191.9,98.52300193,-4472,2.759174004,11.25827815,27097,6.05,1140500575,,67.829
Costa Rica,99.9,12.152,28.05780602,48.18999863,32.25344489,1.555,19.7191,62395610760,12394.0494,0.196500391,96.32689094,14.88460902,0.628635049,11.12606515,66.853,79.277,,0,146.6370492,1029,10.48509034,45.61403509,9593,3.4,7231533677,18.182,80.771
Cote d'Ivoire,69.9,34.197,49.698349,,16.03206832,4.472,0.903911,63027852805,2179.729348,-0.53914851,99.95569485,17.74787182,0.379889339,,66.358,59.032,,607155890,149.543339,-12390,2.496082587,11.37254902,2086,2.85,,,51.706
Croatia,100,8.9,18.22,92.28657532,45.54189634,1.48,26.0745,57963370885,14808.46202,0.424775809,106.9793908,22.59191333,0.709693968,0.976355239,67.236,77.72439024,,981389328.8,106.805903,-8552,21.66617602,31.12582781,956,7.65,23253815166,9.928,57.553
Cuba,99.9,9.344,8.92000866,,,1.5,2.07272,1.07E+11,9605.261251,-0.203988671,99.34626154,,,,61.847,77.567,,,58.95001353,-11976,15.63955025,53.2231405,222,5.38,,,77.194
Curacao,100,8.7,,90.34999847,,1.4,31.5937,2534327598,16356.09336,,,,,,,,,,89.81023625,992,14.92719627,,68,,,25.41,89.062
Cyprus,100,10.583,24.66,81.13999939,41.55276402,1.328,37.0625,25555093854,28649.01563,0.839448512,101.374211,10.96015851,0.755520225,1.212084972,76.712,81.391,,483415023.4,139.6351351,9653,13.61127589,19.64285714,13997,6.36,392004647.4,7.181,66.821
Czechia,100,10.3,12.55939102,99.84304047,37.64245534,1.74,36.4491,2.51E+11,23472.89155,0.910964906,93.25848384,24.08804101,0.752257407,0.731177856,76.198,78.17560976,,3252505062,123.4438209,4336,20.29397364,22.5,1919,11.99,1.66E+11,10.4,74.061
Denmark,100,10.4,15.24,95.06999969,39.56804165,1.68,44.4186,3.56E+11,60985.48856,1.840067387,94.35957299,29.98819132,0.755094826,0.944102117,78.921,81.60243902,,4887155963,124.4957422,10851,20.00081454,39.66480447,36643,9.49,68777153367,9.384,88.116
Djibouti,64.5,22.477,28.18092155,,,2.848,2.26685,3185150981,2881.999245,-0.761062145,91.58493649,12.46565637,,,32.476,62.694,,,39.81402662,1300,4.475073709,26.15384615,21193,0.38,686339280.9,,78.062
Dominica,100,13.301,29.02180862,,,1.597,27.0611,504214814.8,7461.779332,-0.126768589,,,0.54474932,20.83492489,,73.649,,,103.6294691,-225,12.1853403,34.375,,5.02,165824163.3,,71.09
Dominican Republic,100,18.78,33.54745483,65.95999908,21.39755982,2.303,9.37345,78844656298,7162.291752,-0.281447858,107.7022622,22.84941866,0.502766907,8.736630898,63.742,72.889,,599052525.4,81.72601454,-17957,6.809970659,27.89473684,162,6.5,10810213184,4.08,82.54
Ecuador,98.9,17.037,39.110466,53.04999924,34.03967577,2.051,13.5147,95865472000,5463.645096,-0.47050634,97.42218763,19.81383833,0.594254851,7.800509142,63.349,72.153,94,2356300000,88.04208636,-10320,7.561752665,39.41605839,104582,2.54,5235586638,,64.166
"Egypt, Arab Rep.",100,23.051,66.95245361,47.67607498,,2.96,8.53963,3.84E+11,3511.11381,-0.446171612,107.1807041,13.45339183,0.494374663,,44.021,70.99,,4505374644,88.73336258,6016,4.691181637,27.41116751,272826,0.13,34094946984,6.045,42.783
El Salvador,99.7,16.188,34.96681595,42.65000153,33.94460698,1.819,9.39905,24921190000,3997.192796,-0.261266619,117.4059505,18.29291125,0.546176612,21.31030232,60.396,71.061,90,343900000,158.1030557,-25213,7.709730109,33.33333333,48,3.15,2999443127,3.967,73.444
Equatorial Guinea,66.7,31.174,76.8955307,,12.25352792,4.346,0.107372,9893816008,5764.055029,-1.215559959,96.23698442,,,,59.321,60.708,,162373364.4,46.62018522,0,3.482877781,21,,6.56,60833004.02,,73.1
Eritrea,51.4,28.706,46.85018921,,,3.933,0.151917,,,-1.643217921,,,,,79.403,67.133,,,50.64867425,-14967,4.091003763,,201,1.07,,,41.347
Estonia,100,9.9,22.95885277,97.55000305,40.49923887,1.58,34.27,31820771494,23933.99394,1.299006701,101.087386,25.66434852,0.777203202,3.159215431,78.626,78.59512195,,718112390.3,144.8567221,3694,20.20009484,28.71287129,277,10.68,1981763949,13.567,69.229
Eswatini,80,24.615,24.28040886,,26.25315175,2.89,2.29004,4105756863,3442.321653,-0.75438714,,,0.372500807,,50.64,59.692,89.27999878,76795299.98,105.8184652,-4242,3.874851758,9.589041096,945,6.79,545564174.1,,24.171
Ethiopia,51.1,32.78,37.31850815,,8.412268515,4.243,0.178275,1.08E+11,905.3131758,-0.589582562,109.7517118,27.12910708,0.382784843,,70.678,65.371,,504066088.3,37.97222807,38866,3.069048909,38.75685558,800454,3.06,3046114359,,21.695
Faroe Islands,100,13.1,,,,2.3243,35.0714,3271813312,62236.08666,,101.3683911,,,,,82.89756098,,,112.9695698,548,17.68609814,,,,,,42.398
Fiji,97.1,19.628,29.35251427,,30.50380011,2.495,2.52054,4432466237,4844.42129,0.59055531,116.6844289,3.048826364,0.508573294,2.172916336,59.528,67.924,,71181004,107.7223274,-6008,5.987072701,19.60784314,14,3.58,1079921865,,57.247
Finland,100,8.4,18.66,89.14651489,41.53824026,1.37,33.3839,2.70E+11,48828.68469,1.901003957,99.64549658,26.33630017,0.796001017,1.645727943,78.079,81.93170732,,3868688020,128.7646479,17504,22.49068289,46,23428,9.08,10492037777,19.279,85.517
France,100,10.9,23.22595406,84.38515472,51.91018654,1.83,46.4712,2.65E+12,39169.8606,1.204251051,101.7244451,19.5283642,0.762737215,1.07320011,71.091,82.17560976,,52747064858,112.8271405,145593,20.7474409,39.51473137,436055,10.32,76114119268,14.005,80.975
French Polynesia,100,12.924,,,,1.705,22.9219,5792545871,20746.27204,,122.2011373,,,,60.273,82.217,,,110.9565448,-1443,9.206365124,,,,,,61.975
Gabon,91.1,27.695,33.50818634,,16.44537162,3.548,1.92061,15342236164,6605.803461,-0.991475403,74.91508901,,0.457612455,,49.802,66.531,,263471597.1,133.0177927,1506,3.993065348,14.78873239,467,8.14,,,90.092
"Gambia, The",62.2,33.719,27.2722187,26.04137039,,4.777,0.198749,1812170891,720.3351434,-0.786214232,129.0754046,26.88900898,0.421570629,,48.894,62.612,,14805015.93,104.038819,-1949,2.766231002,8.620689655,4378,0.61,387046403.6,,62.582
Georgia,100,12.966,55.32,97.81293488,29.00901806,1.971,25.512,16010869216,4300.857013,0.716738403,119.0895089,12.09325582,0.568925798,,68.843,72.765,,287864077.7,135.4280451,-2738,14.88748519,20.66666667,1780,14.41,3913274195,12.86,59.453
Germany,100,9.3,21.49774742,95.43000031,32.1608467,1.53,43.3049,3.94E+12,47379.76519,1.313688159,94.65488952,26.94358198,0.751162469,0.93844894,78.535,81.04146341,,53318705118,128.8867207,203468,21.84472812,31.17066291,1210596,11.84,63969346749,9.439,77.453
Ghana,85.4,28.038,38.31406784,,21.88355441,3.623,0.245771,70043099676,2196.547893,-0.196979344,103.5246577,21.0755192,0.450056404,1.724652192,65.939,64.114,80.37999725,239887164.3,125.7336966,-291,3.468706489,13.09090909,12406,4.26,7352692439,,57.349
Gibraltar,100,10.844,,,,1.855,58.0792,,,,,,,,,82.198,,,108.3465819,514,17.42459846,,,,,,100
Greece,100,7.9,45.87639236,69.86000061,58.06749426,1.39,39.7876,1.91E+11,17886.73317,0.402936995,107.3929274,4.597249911,0.690006495,0.741992757,66.197,81.28780488,,5773281660,108.5687131,6353,22.39343273,21.66666667,103101,5.81,5005971805,18.348,79.715
Greenland,100,14.8,,,,2.019,27.919,3082884653,54693.07668,0.766512632,110.7959363,,,,,71.85073171,,,117.7274837,-328,8.844586703,,,,,,87.282
Grenada,93.4,16.288,58.12962341,55.39766312,,2.023,27.4641,1043411111,8968.558901,0.002467415,,,0.56507051,11.32109038,,74.924,,,96.03519242,0,10.98580896,46.66666667,,7.33,293320432.2,11.321,36.537
Guam,100,16.363,,,,2.593,1.85005,5916000000,36482.9364,0.632649243,,,,,67.287,76.612,,,,-244,10.7712848,,,,,,94.938
Guatemala,96.6,21.816,60.73390579,,14.998015,2.484,3.52589,77719464221,4477.617618,-0.713372231,108.4535362,18.52588981,0.461270094,18.96016456,58.618,71.797,,342766481,117.4393951,-23927,4.545121309,19.375,442,1.54,18044494442,,51.836
Guinea,44.7,34.944,67.76779938,,,4.489,0.00747877,14088693743,1053.660977,-0.969097733,121.8256232,9.694793001,0.370942473,,53.164,59.327,,206992890.8,104.466802,-4365,3.444339966,16.66666667,6029,0.52,1245320957,,36.875
Guinea-Bissau,33.4,31.605,59.23788452,,,4.094,0.118366,1646400350,817.7803357,-1.465614915,112.3728823,20.64375361,,,61.957,59.999,,24165899.18,94.94153271,-1394,3.018941962,13.7254902,1846,3.73,,,44.196
Guyana,92.3,20.473,26.29045105,,,2.418,11.765,5471256595,6775.709391,-0.446742803,,,0.495226473,19.69387934,53.981,68.486,85.63835144,76541839.68,107.375546,-1743,6.001128199,35.71428571,23,5.04,680634183.7,,26.786
Haiti,46.3,23.936,56.85890961,,,2.869,0.275706,14508222518,1290.325387,-2.113319159,127.1744408,17.72185796,0.446564913,11.32061972,66.497,64.052,,15834887.07,64.73094691,-33850,4.434211491,,,3.11,2480148341,,57.088
Honduras,93.1,21.353,56.29788589,,24.39244929,2.394,3.92223,23352232484,2307.614943,-0.645809412,116.2505936,21.93966302,0.481023133,35.79415957,61.756,71.462,,341212465,68.76918576,-6199,3.994094454,21.09375,85,3.08,8096529091,,58.359
"Hong Kong SAR, China",100,5.8,,,,0.883,38.5246,3.45E+11,46109.22999,1.618365645,98.07074015,25.97107679,0.812756538,0.293295889,71.569,85.49634146,,,291.4989659,-1800,18.82526257,,245,,4.92E+11,7.219,100
Hungary,100,9.6,29.53,97.61000061,44.42728248,1.59,33.4922,1.57E+11,16131.95404,0.538535595,98.07250668,26.26517926,0.683087289,0.820464645,75.021,75.56829268,,2768372537,105.9697831,9147,20.09067377,12.06030151,5838,9.93,39433731713,10.918,71.942
Iceland,100,12.3,16.67,99.76999664,37.03409741,1.72,38.6826,21629953194,59023.56635,1.475929976,101.3557855,22.41650387,0.745281875,1.363627686,84.88,83.06341463,,0,114.9221778,2498,14.5643647,38.0952381,1460,7.94,6298662205,8.388,93.898
India,96.5,16.572,63.04,40.06999969,,2.051,1.63623,2.67E+12,1907.042516,0.374532461,101.6329651,28.67968211,0.493510902,2.911155454,54.374,70.15,,72937064048,82.621059,-73806,6.416853023,14.36464088,195373,4.1,5.49E+11,6.368,34.926
Indonesia,97,16.649,44.32585526,51.00999832,16.5400276,2.194,3.92994,1.06E+12,3853.702888,0.31706503,100.9330549,29.22460873,0.540038466,,69.644,68.808,96,9386956718,130.8110952,-18743,6.607905277,20.34782609,10114,0.074,1.31E+11,2.868,56.641
"Iran, Islamic Rep.",100,14.231,48.56869507,57.46705246,,1.708,10.9027,2.62E+11,2988.781224,-1.017594695,102.9499884,,0.593404472,,44.693,74.832,,3335715149,146.2076628,-180680,7.229355442,5.594405594,800025,0.51,,7.068,75.874
Iraq,100,27.732,54.66120529,,,3.551,14.8495,1.81E+11,4295.189451,-1.303391814,97.15042619,24.03147205,0.407643288,,41.501,69.123,,5649373637,88.05916556,29858,3.360395542,26.443769,270377,0.24,48562062658,,70.893
Ireland,100,11.2,21.96558952,89.12741852,25.09442648,1.63,30.4353,4.37E+11,87567.1149,1.435243845,79.80917228,35.96371097,0.792599022,0.66718977,71.883,82.55609756,,1144420381,105.8205231,15746,14.56214734,22.5,9035,10.77,7098062595,8.047,63.653
Isle of Man,100,8.605,,,,1.569,,6684225641,79513.53303,,,,,,,80.588,,,,219,21.85728646,,,,,,52.898
Israel,100,19.2,31.15,90.57061768,41.63299349,2.9,29.5678,4.12E+11,44679.77158,1.05196321,96.27261428,28.95086093,0.733995318,1.427349699,71.665,82.64878049,,21816569767,140.1086384,16573,12.05287706,27.5,1843,2.84,1.73E+11,7.01,92.587
Italy,100,6.8,24.07,78.62999725,50.29682723,1.24,30.2586,1.91E+12,32091.48666,0.360754579,96.48777353,21.17321086,0.727819681,0.47898694,64.086,82.19512195,,32929093811,130.3870472,85281,23.37923323,35.71428571,128033,6.97,61613808653,12.657,71.039
Jamaica,99.7,11.813,30.20898819,90.78475952,29.82962049,1.358,13.622,13812421803,4879.440246,0.528545618,,,0.534977913,47.26220472,68.42,71.869,,236865671.6,101.8728665,0,7.139125154,28.57142857,27,3.1,3938028781,3.245,56.311
Japan,100,6.8,15.14,98.20999908,23.59880787,1.33,34.8371,5.06E+12,40040.76551,1.547300577,100.2687436,28.16766715,0.804714262,0.253902837,79.842,84.56,,51396536059,155.7389638,42001,28.91817438,9.892473118,1132,6.38,1.34E+12,,91.782
Jordan,99.9,22.265,56.01600266,77.37999725,28.16522187,2.873,5.80333,43700383099,4022.040136,0.094962642,117.8221534,16.16375426,0.553174376,0.988221769,42.221,75.184,,2055915493,63.94061117,6745,3.899085408,11.53846154,3009472,0.23,,20.621,91.418
Kazakhstan,100,22.76,34.16,,16.83286427,3.13,13.4503,1.71E+11,8781.507978,0.105691098,94.5528544,26.23044455,0.628506422,3.192961911,79.325,71.37,99.80000305,1548175775,128.0024709,-8716,7.648791453,27.10280374,440,4.52,12056059796,,57.671
Kenya,71.5,27.998,33.4131546,54.59402847,19.99414618,3.397,1.29112,1.01E+11,1927.66459,-0.399473369,108.5686141,15.33090316,0.546752512,3.575977892,67.419,62.675,,1115321770,118.1263492,-17111,2.78922228,21.7765043,452916,2.47,8296128899,,27.995
Kiribati,91,27.645,2.83,84.96176147,75.21412153,3.333,0.14671,223123620.6,1769.432118,0.134626627,156.6657204,47.47486991,0.492592931,,,67.266,,,43.22257718,0,3.930245283,8.888888889,,0.72,,8.934,55.594
"Korea, Dem. People's Rep.",50.5,13.333,,83.08769226,,1.818,,,,-1.490295053,,,,,86.859,73.274,,,23.19515861,-1585,11.08864939,17.61280932,,3.87,,,62.381
"Korea, Rep.",100,5.3,40.16776276,83.08769226,29.72592853,0.837,43.0541,1.64E+12,31721.29891,1.370186806,96.31486399,36.22874636,0.798776269,0.59408205,67.886,83.42682927,,46117096575,136.0094467,112631,15.82216595,19,3443,7.79,4.37E+11,3.927,81.414
