Country,Access to electricity (% of population),"Birth rate, crude (per 1,000 people)",Domestic private health expenditure (% of current health expenditure),"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",Expense (% of GDP),"Fertility rate, total (births per woman)",Fixed broadband subscriptions (per 100 people),GDP (current US$),GDP per capita (current US$),Government Effectiveness: Estimate,Gross national expenditure (% of GDP),Gross savings (% of GDP),Human capital index (HCI) (scale 0-1),"Intentional homicides (per 100,000 people)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (current USD),Mobile cellular subscriptions (per 100 people),Net migration,Population ages 65 and above (% of total population),Proportion of seats held by women in national parliaments (%),Refugee population by country or territory of asylum,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Total reserves minus gold (current US$),Unemployment with basic education (% of total labor force with basic education),Urban population (% of total population)
Kosovo,,11.181,,,,1.529,,7717145218,4310.888247,-0.3328982,132.2177086,26.58324815,0.567331731,2.214642558,,76.567,,78965006.27,,2815,8.721452401,,,,1095367617,32.949,
Kuwait,100,11.797,10.66788769,,,2.14,1.68058,1.11E+11,25236.07555,-0.195234433,94.58503939,22.95633395,0.562588036,0.252267859,70.419,76.92,96,6941042345,155.2673535,-168379,3.99581241,6.349206349,732,0,48117162094,,100
Kyrgyz Republic,99.9,24,45.99,,25.7763,3.1,4.33664,8270468614,1229.517757,-0.576322258,119.8285228,29.2597222,0.596617103,1.747343081,68.324,71.8,,131104408.7,132.4695239,54704,5.148751763,16.52173913,334,3.63,1791821350,,36.856
Lao PDR,99.3,22.449,43.8791275,,11.44771037,2.541,1.67211,18981805250,2583.777307,-0.73933655,,,0.456665337,,65.174,68.497,,,63.34796067,-10305,4.241518022,27.51677852,,10.82,1894600081,,36.29
Latvia,100,9.2,36.39,98.00244141,50.97938868,1.55,25.8042,33379927435,17564.23215,0.838092744,98.56471352,28.16089531,0.706581414,3.689935753,78.187,75.18536585,,742049470,108.1340417,-3147,20.67217096,30,637,12.87,4884944948,17.049,68.315
Lebanon,100,15.332,45.38058472,,14.94487076,2.103,7.57699,31712128254,5561.19167,-1.205427647,117.3846323,2.235463171,0.515125513,2.260316601,49.821,77.804,,431991051.5,75.72450204,-47787,9.123706301,4.6875,1349925,1.26,25000678887,,88.925
Lesotho,47.5,26.378,16.6175766,,43.28841484,3.049,0.226325,2053699870,918.5825774,-0.978631914,152.1999433,20.49538958,0.400392592,,58.997,54.693,,38618836.53,69.32469722,-3449,3.788880259,23.33333333,271,4.3,730280379.2,,29.028
Liberia,27.6,31.708,80.78565979,,,4.174,0.252454,3176126300,616.787867,-1.459123373,,,0.319014221,,76.976,60.948,,12901000,32.49086403,-10107,3.221355001,12.32876712,8213,2.86,340965880.5,,52.089
Libya,69.4,18.302,,,,2.507,4.7123,46854285441,6650.338106,-1.85938096,109.7894908,-0.301700259,,,51.843,72.472,,,174.6934374,-694,4.646472116,15.95744681,4149,0.012,72564803065,,80.691
Liechtenstein,100,9.1,,,,1.46,46.5602,6405870210,164671.0936,1.761576295,,,,2.580245639,,81.65853659,,,126.1404686,269,18.65504166,12,129,,,,14.416
Lithuania,100,9,30.74,95.52999878,39.04647658,1.48,28.4989,57412038533,20541.82499,1.014909744,90.92719456,22.7707287,0.706047952,3.581221846,78.533,74.97804878,,1174056765,130.2002612,19884,19.93415397,26.95035461,1880,12.1,4492883350,22.477,68.046
Luxembourg,100,10.2,11.4,89.1942749,42.82367594,1.36,37.2961,73699366700,116905.3704,1.792388916,66.03087641,21.45673643,0.68614614,0.475888702,72.112,82.14390244,,425168129.5,132.9505076,6967,14.58522638,30,5158,10.82,981025842,11.614,91.453
"Macao SAR, China",100,10.128,,,43.10093821,1.072,30.4509,25343525936,36976.25611,1.074959755,98.56473273,40.42942693,0.795671582,0.295734182,76.738,85.184,,,412.9927856,8842,11.31163657,,,,25144935000,,100
Madagascar,32,31.343,35.8677063,,11.79775222,3.918,0.110522,13051441204,450.7716152,-1.053035736,113.4178571,8.562250517,0.391991019,,85.718,65.182,,87357752.07,56.2228538,-1480,3.153564226,17.8807947,112,0.99,1980766598,,38.534
Malawi,11.5,33.233,22.23474312,12.71358013,16.49353946,3.995,0.0627371,11769313598,602.5074782,-0.818265617,,,0.413240641,,68.952,63.717,70.15226746,98863990.76,51.6315658,-2655,2.707650999,22.91666667,14892,3.61,594498493.6,0.703,17.427
Malaysia,100,15.417,46.68740082,85.04069519,18.47158514,1.818,9.91102,3.37E+11,9957.526267,1.022258878,93.6323107,23.82106148,0.61097616,0.762048353,69.332,75.938,,3374583532,131.6976181,101907,6.724906139,14.86486486,129902,0.74,1.05E+11,4.05,77.16
Maldives,100,14.576,18.31,,35.34612801,1.712,12.6833,3712604583,7393.888654,-0.091672421,117.8795037,-0.287436066,,,64.974,79.875,,,139.513022,9642,3.869704064,4.597701149,,1.49,984930745.3,,40.669
Mali,50.6,41.995,53.76226044,8,14.50112062,6.035,1.12281,17465392764,804.3439567,-1.186405301,106.5475937,15.1622104,0.318269581,,67.327,58.633,31,593865883.5,119.2779414,-14962,2.490598678,27.89115646,47380,5.32,,8.782,43.909
Malta,100,8.6,33.3,82.18000031,39.85021336,1.13,41.1094,16385919536,31796.82134,0.994064867,84.52059544,26.40983897,0.709248304,1.358279099,77.05,82.34878049,,86287472.93,122.8511054,6904,18.49976795,13.43283582,9168,7.11,919117709.4,5.961,94.744
Marshall Islands,98.3,20.006,6.60480118,,59.4431772,2.777,2.34159,241800000,5661.967873,0.113665514,152.2179487,15.12936505,0.423398137,,,64.977,,,36.85447091,-2004,3.704354138,6.060606061,,,,,77.794
Mauritania,45.4,33.427,48.91579819,,,4.455,0.401228,8260752385,1795.764596,-0.839177847,103.9639596,37.55243314,0.38154608,1.02253955,41.706,64.532,59.52965927,198530037.2,129.1269247,-1483,3.260113679,20.26143791,93607,0,1493184646,,55.327
Mauritius,99.5,10.6,48.4409523,71.03270721,31.68718607,1.44,25.1866,11408106446,9011.042884,0.853226721,108.4192892,8.075145006,0.621859252,2.696814484,63.806,74.17707317,,18478399.39,147.3924126,-5895,11.40117501,20,20,6.86,6535003556,8.908,40.76
Mexico,99.4,15.565,47.09709167,63.70000076,21.69807042,1.905,17.7521,1.12E+12,8841.27075,-0.270338684,98.58822371,22.19567116,0.612949848,29.18531406,60.241,70.133,95,8044880864,97.53972081,-147456,7.486079875,48.2,45434,4.79,1.92E+11,4.251,80.731
"Micronesia, Fed. Sts.",81.9,20.837,2.66157842,,23.48261006,2.754,5.4095,372000000,3353.88943,0.357185036,,,0.505966544,,,70.674,,,19.62428416,-680,5.033966993,0,,2.02,451912609,,22.933
Moldova,100,12.481,32.09,96.79000092,32.72227237,1.77,23.4269,11530746234,4375.778893,-0.533600271,123.4370491,16.11961473,0.584153533,3.014736225,71.839,70.166,,44533780.66,110.876909,-33405,14.29117884,24.75247525,405,11.08,3779071902,0.764,42.849
Monaco,100,,11.98282242,,,,54.8673,6730736283,176891.8865,2.028389215,,,,,,,,,96.10801148,999,36.46338419,33.33333333,22,,,,100
Mongolia,99.5,22.405,44.93967819,79.26000214,33.17899354,2.9,9.34756,13312981429,4001.251931,-0.419692069,98.66542169,16.3069665,0.614397526,6.222803692,65.343,72.141,99,102510120.1,132.467372,0,4.306357859,17.33333333,,7.68,4049334798,4.631,68.657
Montenegro,99.9,11.4,37.53,94.48339844,,1.75,30.2953,4769996866,7677.371321,-0.106665947,135.0126256,5.228699747,0.63318181,2.861469126,61.239,75.93170732,,82920323.72,171.7021595,-3310,16.64067705,22.22222222,166,,2134820420,33.683,67.488
Morocco,100,17.889,55.72185135,,27.21021231,2.353,5.74683,1.21E+11,3268.030273,-0.186065659,107.2555895,27.69585194,0.504116356,1.248338337,47.729,73.92,,4830956394,133.893994,-35474,6.97052127,20.50632911,6505,0.5,34653006799,,63.532
Mozambique,30.6,36.974,16.3225708,17.87000084,22.9049104,4.713,0.227393,14235420174,462.4338765,-0.810174465,134.3264014,13.55431313,0.362116665,,78.436,61.172,60,288258945.9,49.59621356,-25864,2.811069941,42.4,4757,1.89,3836111854,,37.074
Myanmar,70.4,17.363,79.21,76.08895874,,2.174,1.29925,79006113643,1490.216835,-1.016069651,,,0.477652013,2.940670081,64.405,66.797,,2498229138,147.0303762,-66213,6.507815682,16.82539683,,1.93,,1.161,31.141
Namibia,52.3,27.876,45.24013519,,40.31528871,3.349,2.88695,10583748542,3878.58983,0.05236204,109.5692495,16.77607576,0.446437538,12.17308439,59.06,62.829,,368224738.9,116.4327399,27056,3.575211685,43.26923077,3578,5.05,2171055563,,52.033
Nauru,100,28.364,2.77819777,,103.7257867,3.571,,124530027.3,10695.69933,0.142491281,,,0.508412123,,,63.437,,,81.20178644,-214,2.117151937,10.52631579,1074,2.79,,,100
Nepal,89.9,20.64,59.4,,20.16478293,2.055,4.38436,33433659301,1154.215176,-0.985120118,124.720924,32.81596837,0.504601777,,41.79,69.246,,434381673.5,130.203706,162139,6.088524551,32.72727273,19555,1.06,11076694632,,20.576
Netherlands,100,9.7,31.09,89.80999756,41.89632598,1.54,42.6667,9.33E+11,53467.92774,1.805217981,89.75017851,24.44090678,0.789915025,0.613723635,83.414,81.35853659,,13085717542,122.8307665,67598,19.37039523,33.33333333,95897,8.71,16733754575,6.941,92.236
New Caledonia,100,14.7,,,,2.05,19.3542,9454629468,33270.3306,,,,,,65.421,80.83495122,,,90.78117198,-1181,10.25471846,,,,,,71.518
New Zealand,100,11.32,22.12965965,82.02999878,36.40284824,1.61,34.813,2.13E+11,41785.69229,1.538743258,100.524403,20.27396636,0.775932431,,80.654,82.25609756,,2810182349,123.2134933,42124,15.62071798,48.33333333,1748,10.02,13733288689,6.75,86.699
Nicaragua,86,20.903,33.89159775,,16.47437147,2.349,4.42253,12681569254,1931.615158,-0.679674625,105.1185731,22.81023835,0.508098245,,66.866,71.795,,79343309.6,88.25160841,-10383,5.160696435,47.25274725,311,3.67,3211903362,,59.012
Niger,18.7,45.588,46.76221085,,,6.892,0.0505953,13744653103,579.5124958,-0.660878658,115.4868663,13.06263129,0.315685183,,72.893,61.451,,238269588.3,58.5157033,-4402,2.52637349,16.95906433,233293,0.13,,,16.626
Nigeria,55.4,37.467,75.44963837,,,5.309,0.0305206,4.32E+11,2019.657063,-1.143787026,,,0.360609829,,82.185,52.887,,2567917819,98.03255552,-14497,2.981311381,7.222222222,66056,3.78,36729565818,,51.958
North Macedonia,100,9.2,39.6,61.90000153,34.92417021,1.31,25.4041,12361036914,6659.596511,0.02825786,112.6982728,27.1155385,0.557349205,,64.132,74.39512195,,153537482.9,88.20817101,-23458,16.34633901,39.16666667,303,4.36,3707335438,21.848,58.482
Northern Mariana Islands,100,,,,,,,866000000,18220.83824,,,,,,,,,,,-755,6.187931325,,,,,,91.798
Norway,100,9.8,14.03,98.50940704,45.39095643,1.48,44.3863,3.68E+11,68340.0181,1.887772322,100.9332746,32.43626802,0.771051168,0.576225422,79.391,83.2097561,,7225183140,108.285471,11277,17.72818393,41.42011834,49653,7.38,75258813465,9.522,82.974
Oman,100,18.791,10.87692547,,,2.687,11.383,75909492848,16784.86306,0.104503602,97.76374575,10.85184944,0.608116269,0.308139381,67.483,74.757,,6095708713,140.0686492,-171635,2.607022471,2.325581395,308,0.51,15006140748,,86.276
Pakistan,94.5,27.967,58.48335648,,,3.555,1.03954,3.00E+11,1278.397352,-0.571128666,108.1191603,14.54158242,0.406070024,3.736849385,53.742,66.269,,10241024485,77.3005648,-559291,4.022657772,20.1754386,1438940,0.084,14591657230,,37.165
Palau,100,12.1,34.9499855,95.78204346,58.95359482,0.85,,258990843.8,14556.58969,0.385807753,163.908922,-7.310318765,0.588113487,,,,,,133.5410639,0,9.521133094,6.25,,,,1.475,80.988
Panama,95.3,17.919,45.49739838,,19.26891439,2.344,13.8347,57059846500,13290.56083,0.164647356,96.16224712,24.66360146,0.501601994,11.64307953,71.976,76.657,,0,142.2454753,5473,8.293416124,22.53521127,2562,4.66,9613847649,15.322,68.414
Papua New Guinea,20.5,25.996,10.42409325,,20.89591296,3.274,0.213942,23848447850,2429.611346,-0.830172777,,,0.429185003,,51.579,65.787,,93461981.57,49.41720925,10703,3.110558439,0,10781,1.13,2605186734,,13.345
Paraguay,99.7,20.946,46.14598846,52.47000122,18.4727987,2.497,8.51592,35432178068,5365.472207,-0.56520766,96.2189635,21.880765,0.528180063,7.267293628,73.485,73.182,95,364342200,118.8308269,-8226,6.150038172,16.25,1686,5.62,8704248622,,62.183
Peru,96.2,17.833,30.95219994,55.95999908,26.90654027,2.216,8.41187,2.01E+11,6133.325524,-0.294280052,98.22308091,19.88010414,0.605192661,5.71389864,72.345,73.665,94,2653592900,118.176464,55375,8.718075031,26.15384615,4272,6.45,72853559863,4.622,78.297
Philippines,96.4,22.039,54.06,65.77999878,19.56030292,2.777,7.08109,3.62E+11,3227.579102,0.067812383,107.7638817,24.81817336,0.515962124,,56.681,72.119,98,4693073497,133.3257005,-47014,4.725674311,27.96052632,709,5.66,98512083712,,47.408
Poland,100,9.4,28.04,86.51999664,40.50321024,1.39,21.9256,6.06E+11,15987.57537,0.324195117,94.39132019,21.22558893,0.753088593,0.692197,71.124,76.5,,13718291432,128.4226449,3920,18.07604682,28.69565217,2771,11.66,1.40E+11,4.445,60.043
Portugal,100,8.2,35.7,59.75,44.33374261,1.41,40.1215,2.30E+11,22299.40441,0.979601145,101.9966105,17.88326319,0.768949568,0.786545871,74.177,80.97560976,,3267981306,115.078977,54076,22.8627034,40,2405,8.88,6199281843,6.391,66.31
Puerto Rico,100,6,,,,0.922,20.4383,1.03E+11,31427.42911,-0.298273265,81.84181463,,,16.99492704,52.76,78.041,,,106.8204687,-7410,22.45383959,,,,,,93.581
Qatar,100,10.895,13.32335567,82.30194855,,1.816,10.5632,1.44E+11,51683.50544,0.867067635,91.78133836,41.78169755,0.637771606,0.434721968,87.983,79.099,,,137.6081235,-50433,1.247692513,9.756097561,201,1.05,37524561602,0.05,99.235
Romania,100,10.3,19.77,89.55999756,38.00297561,1.8,29.3141,2.52E+11,13082.30066,-0.286944449,104.3946623,19.18164713,0.584187865,1.445321693,64.141,74.25365854,,5052321471,116.1812357,-13202,19.0166657,21.88449848,3581,16.8,45888850182,7.623,54.194
Russian Federation,99.9,9.8,28.06,98.99833679,35.29981859,1.505,23.1557,1.49E+12,10108.32715,-0.111088738,94.92253718,25.76849815,0.681419611,7.345966383,74.117,71.33878049,,61712537169,163.5893357,334094,15.47214224,15.77777778,20260,10.53,4.57E+11,12.61,74.754
Rwanda,45.2,30.309,23.77607918,14.60159969,21.52992341,3.873,0.135353,10174387374,778.7015386,0.27377528,116.5360679,10.97275409,0.379552752,3.590347033,64.788,66.774,80.05085754,147873731.9,80.74026868,-22251,3.475701557,61.25,139491,2.87,1719668099,10.648,17.432
Samoa,100,27.622,11.51122093,,29.80083319,3.997,0.798324,868898358.3,4099.660091,0.545318902,120.0344691,33.2010117,0.548421681,,50.506,72.768,,,32.10362492,-2299,5.298333522,10,,2.35,277056415.2,,17.889
San Marino,100,6.4,10.25550842,84.86000061,47.44033686,,31.6374,1544714493,44426.64634,1.749241352,75.94577869,31.46881952,,,,,,,114.6822713,247,19.94909185,33.33333333,,,781674169.9,,97.499
Sao Tome and Principe,76.8,28.435,13.68980312,,,3.893,1.15529,471229484.6,2167.220018,-0.714003325,,,,,23.068,67.785,,,79.67535824,0,3.840006991,23.63636364,,4.79,75287733.68,,74.354
Saudi Arabia,100,18.238,21.7094574,71.26999664,33.43527547,2.465,25.4597,7.34E+11,23271.40376,0.113618113,99.90953388,24.21222801,0.576390505,,63.823,76.239,98,64558400000,120.052537,-74725,2.522581647,19.86754967,330,0,4.53E+11,2.803,84.287
Senegal,64.3,33.034,49.76930237,,20.94592269,4.454,1.05641,24530513038,1461.087204,-0.059842013,118.6457659,25.48925382,0.420110792,,51.6,68.006,,345637478.9,116.079391,33848,3.527465943,43.03030303,14361,0.38,,,48.122
Serbia,100,8.9,38.29056168,69.53462219,42.53765247,1.48,25.1835,55874017669,8098.709557,-0.042924359,108.1142856,20.4644619,0.676606357,1.141613871,67.36,74.47804878,,1267544241,120.2168595,-10220,21.57087512,38.8,26085,,14419194291,8.689,56.446
Seychelles,100,15.8,21.52684212,,44.23325651,2.29,29.0678,1382551752,14041.47541,0.678994,120.3899529,-3.578127126,0.632779062,8.528380555,,77.23658537,96.19999695,19413071.36,173.8823083,1726,7.577873656,24.24242424,,10.19,559681941.8,,57.546
Sierra Leone,26.3,31.914,53.46459198,,,4.08,0.00227486,6688594758,845.3138363,-1.063283443,110.8316975,10.55013913,0.362702101,2.137486405,54.319,59.763,,22374596.48,83.60731215,1292,3.14095012,12.32876712,342,0.29,707703898.1,,42.923
Singapore,100,8.5,40.08229828,80.45999908,25.72187236,1.1,26.8623,3.49E+11,61466.80368,2.284202814,67.0590941,40.9713276,0.879125714,0.169208474,74.58,83.54390244,97,9801649746,142.8931601,-145556,11.58494777,29.47368421,,1.81,3.62E+11,5.44,100
Sint Maarten (Dutch part),100,10,,,,1.591,,1236428101,30150.89984,,,,,,,74.584,,,,519,11.48204597,,,,,,100
Slovak Republic,100,10.4,19.73,99.03421783,42.11001219,1.59,31.1925,1.08E+11,19735.48583,0.502145827,98.93748642,18.78656919,0.664987326,1.154548081,72.444,76.86585366,,2047190243,133.5923247,4350,16.7640891,22.66666667,1006,10.67,7416683102,31.607,53.76
Slovenia,100,8.9,27.2,98.00589752,45.97048155,1.59,30.993,53384760135,25392.06511,1.12117362,91.0054086,28.16822565,0.774986982,0.519445931,74.794,80.53170732,,567650746.6,120.4592752,28514,20.12138871,27.77777778,823,10.41,1118218496,10.956,55.118
Solomon Islands,72.9,30.223,3.49704385,,31.9131436,4.038,0.134319,1536145814,2063.331015,-0.696980476,104.7570738,18.63403845,0.419872612,,84.81,70.199,,,68.57738104,1556,3.702763473,6.382978723,,1.45,660995997.3,,24.67
Somalia,49.9,44.007,,,0.000212714,6.417,0.714664,8628393720,518.1847785,-2.131613731,148.3825859,,,,34.601,55.967,,98156600,53.48002324,77259,2.537229996,24.36363636,11220,0,,,46.141
South Africa,90,20.326,36.88036346,78.29512024,37.8354162,2.401,2.15159,3.38E+11,5580.603831,0.046534523,95.60783479,14.30818361,0.425453395,33.96487358,58.311,65.252,,3231017731,163.1909795,369901,6.109488991,46.75,76729,7.13,47387358996,35.479,67.354
South Sudan,7.3,29.166,47.97896576,,,4.543,,,,-2.316320896,,,0.306520849,,74.106,55.48,,128916014.1,12.6718012,62935,2.693937365,28.45953003,314438,,183614816.7,,20.199
Spain,100,7.2,26.85536766,78.52999878,40.68360824,1.19,33.9528,1.29E+12,27230.35999,0.853928566,98.48407831,20.59012797,0.728255033,0.629172397,72.267,82.33170732,99,17431779323,117.4899328,236854,19.55961609,44,103624,9.16,64167574161,21.01,80.81
Sri Lanka,100,14.235,49.36,83.95999908,19.06917133,2,7.89622,84304298771,3846.174496,-0.079082653,106.1738356,31.35570239,0.598324299,,55.114,76.393,92,1486440861,136.9116134,-29875,10.71571085,5.381165919,1008,2.91,5256670224,3.656,18.713
St. Kitts and Nevis,100,12.418,46.18561935,,26.74946262,1.55,45.9569,883922222.2,18859.01904,0.632649243,,,0.586181641,20.98966259,,71.627,,,131.2392427,-202,9.435673138,25,,4.69,373502419.4,,30.843
St. Lucia,100,11.667,41.31826401,41.61001587,,1.411,19.9725,1499296296,8411.199418,0.307117879,,,0.602564752,29.0119479,58.257,73.416,,,81.41789921,0,8.70909198,16.66666667,,9.28,231361279,31.964,18.841
St. Martin (French part),100,15.768,,,,2.448,,,,,,,,,,80.149,,,,-2853,18.1432077,,,,,,
St. Vincent and the Grenadines,100,13.071,29.69391251,,,1.814,23.8906,869111111.1,8395.099889,0.307117879,,,0.533341825,31.53895778,71.465,72.126,,,95.91903051,-493,10.77748585,18.18181818,,5.62,205195146.8,,53.032
Sudan,59.7,34.226,58.92655563,,,4.542,0.0615142,27034593750,577.7952271,-1.538864851,99.70451968,4.650273517,0.377445191,,39.592,65.614,,934311153.8,79.19626937,-65933,2.989897398,,1040288,0.01,,,35.253
Suriname,98.4,18.279,34.95806503,,,2.371,15.069,2911807496,4755.392217,-0.57881397,,,,9.059985339,58.921,72.561,,,148.145421,-296,6.983561606,29.41176471,19,5.93,495997605.1,,66.149
Sweden,100,10.9,13.82,96.47302246,34.87910124,1.67,40.368,5.45E+11,52653.75659,1.670026779,95.81089581,30.02841158,0.795357108,1.195875829,82.519,82.35609756,,6271285838,123.3665446,37302,20.0599854,46.99140401,248372,9.57,50616518459,24.612,87.977
Switzerland,100,9.9,64.0903244,96.87677002,20.04319548,1.46,46.4814,7.42E+11,85897.78433,1.97202301,93.59486368,30.37698981,0.756115139,0.544068822,84.088,83,,5731416400,127.4054064,55523,18.75153889,41.5,115798,10.07,1.02E+12,8.266,73.915
Syrian Arab Republic,89,19.67,,,,2.798,7.35459,12047752036,572.3552898,-1.754257798,,,,,39.565,72.14,,,80.20304156,269050,4.547596042,11.2,584034,0.092,,,55.475
Tajikistan,99.5,27.53,65.28,,,3.237,0.0615428,8133963551,834.3117155,-0.759225845,122.6401678,36.0648186,0.504116356,0.911643224,41.967,67.994,,77497565.73,121.3847714,-3564,3.260066443,23.80952381,5578,0.74,1394586288,,27.506
Tanzania,39.9,36.651,30.25230789,1.645413041,14.2926516,4.795,1.86248,66068737786,1117.415283,-0.739272416,101.0062507,36.4334818,0.389834702,3.70475303,81.55,66.408,,676410078.5,83.00888599,-18587,3.018990559,36.71875,234645,10.95,,0.574,35.227
Thailand,100,9.182,29.55669212,49.1190033,22.83135746,1.341,16.0218,5.00E+11,6985.643939,0.201812536,94.59787255,28.1509141,0.609310985,,74.547,79.274,,7295669543,162.7043297,32277,12.89798529,15.74642127,96179,7.99,2.49E+11,0.886,51.43
Timor-Leste,96,25.258,6.68426275,,52.18607346,3.247,0.00625918,2162619200,1630.869354,-0.755884349,111.4178816,20.36837515,0.45431453,,65.954,68.475,69.90000153,38456000,105.9938692,3793,5.535636383,38.46153846,,0.17,656523631.7,,31.32
Togo,54.1,32.302,70.16882324,,14.40350597,4.323,0.607932,7400284168,853.5782203,-0.730156839,109.0217162,21.05042052,0.431868047,,58.346,61.035,,163926877.2,77.18623928,-986,3.036689591,18.68131868,10798,1.44,,,42.8
Tonga,99.9,23.139,8.26616287,,32.10631209,3.267,4.73019,496856295.8,4700.449328,0.276987463,131.7079516,30.33212042,0.531120658,,55.369,70.928,,,58.90512475,-1807,6.335173386,7.407407407,,0.36,298947629.8,,23.099
Trinidad and Tobago,100,11.946,54.40823364,71.83161926,,1.631,25.4399,20807716174,15224.50835,0.173967272,,,0.60348773,26.28203988,66.281,74.406,,170175114.5,130.9488475,427,10.44416243,26.19047619,3179,6.03,6835740984,5.08,53.214
Tunisia,99.9,16.628,38.42872238,,,2.114,11.1468,42491780918,3548.653637,-0.186425105,108.4667131,5.566149069,0.51680994,4.62105575,51.898,75.292,,1157372367,122.1279008,-19188,8.281775341,24.88479263,2580,1.71,9394588875,,69.568
Turkiye,100,15.033,21.15,41.38952255,34.06824505,1.917,19.4384,7.20E+11,8638.739038,-0.158797756,103.1021754,27.07328784,0.649261832,2.505484387,54.506,75.85,,17478413685,97.61417509,37934,8.963864417,17.31748727,3652362,1.69,49958256077,12.564,76.105
Turkmenistan,100,22.294,82.09459686,,,2.701,3.40423,45818000000,6592.60146,-1.023769975,,,,,48.881,68.687,,,98.62952004,19913,3.797724345,25,20,2.62,,,52.516
Turks and Caicos Islands,99.4,12.685,,,,1.679,,774653669.3,17452.6578,,,,,,,75.001,,,,682,10.07761544,,8,,,,93.605
Tuvalu,99.4,23.632,2.9424789,,,3.188,,51746594.31,4976.112541,-0.433251232,,,0.447577119,,,64.382,,,81.30815792,-355,5.726236838,6.25,,1.26,,,64.014
Uganda,42.1,37.252,38.09126282,,13.67172908,4.693,0.0778188,37600368242,845.7664639,-0.616496086,104.989538,21.80970432,0.384176582,10.04400196,79.419,62.851,,984759731.7,62.35610757,43464,2.06185945,34.8583878,1421133,11.3,,,24.954
Ukraine,100,7.8,50.71,,37.20920478,1.217,18.617,1.57E+11,3709.769287,-0.410091132,101.5131598,12.21956043,0.631387115,3.867030054,67.084,71.18512195,,6838766421,129.3411657,-4167,17.09632502,20.80378251,2249,9.24,27549017200,11.822,69.608
United Arab Emirates,100,10.62,39.01390076,,5.259171647,1.46,34.3453,3.49E+11,37173.87541,1.285266876,84.82023455,,0.673011899,0.699881311,79.67,78.946,,,197.8438703,92541,1.564090857,50,1315,2.08,1.03E+11,,87.048
United Kingdom,100,10.1,16.28620911,99.80000305,48.01248974,1.56,40.5775,2.70E+12,40201.68124,1.332154155,99.44154608,14.69204553,0.782942951,1.003586756,77.656,80.35121951,,58332371795,117.8163133,144221,18.60579533,33.84615385,132304,10.73,1.61E+11,6.445,83.903
United States,100,10.9,42.99185181,96.55000305,31.6489312,1.6415,35.7157,2.14E+13,64411.37318,1.274593234,102.9324666,18.38678324,0.701764345,6.420751134,71.872,76.9804878,,7.78E+11,104.9353748,329769,16.07191194,27.46478873,340846,9.9,1.34E+11,11.724,82.664
Uruguay,100,10.339,28.38340378,,34.62017757,1.477,31.2948,53668636568,15789.68574,0.73021096,95.57608574,15.60116655,0.598760247,9.856852547,72.897,78.43,,1091535360,132.7256301,-1482,15.32584302,21.21212121,664,5.61,16244164853,,95.515
Uzbekistan,100,24.6,53.79,,19.04572195,2.904,15.807,66443265418,1978.280519,-0.615506291,116.6406781,28.58886816,0.622805715,1.339232858,59.89,70.331,,,99.58344787,-9208,5.308654653,32,13,2.1,14687252839,,50.416
Vanuatu,67.3,29.939,11.85667706,43.18178177,34.03958867,3.778,0.931881,909421043.5,3042.987116,-0.38405177,131.5699187,43.51237957,0.454658538,0.320836742,59.723,70.299,,,79.00027271,-201,4.059613496,0,,2.04,613636752.1,3.638,25.525
"Venezuela, RB",99.9,16.213,62.59889603,,,2.23,9.00606,,,-1.889375687,,,,29.42740101,55.943,71.095,,2591576.733,58.06789032,-524649,8.265059747,22.15568862,68089,1.99,,,88.279
Viet Nam,99.8,15.4,57.4060173,57.47973633,,1.955,17.0263,3.47E+11,3534.039535,0.193557769,97.36157666,33.0073259,0.689964533,,80.059,75.378,,,143.7522156,-6457,7.56724482,26.72064777,,8.04,94833616150,1.405,37.34
Virgin Islands (U.S.),100,12.1,,,,2.03,,4229000000,39787.37417,0.632649243,,,,,64.356,79.8195122,,,79.64795603,0,21.19170187,,,,,,95.939
West Bank and Gaza,100,28.8,,67.93000031,29.23456717,3.57,7.43459,15531700000,3233.568638,-0.677145183,136.4512578,12.17484654,0.579996645,0.956289311,42.973,74.403,98,,79.63152961,-12369,3.575394718,,2348243,,697074683.3,24.317,76.719
"Yemen, Rep.",73.9,31.252,,,,3.886,1.08206,,559.5646728,-2.362375498,,,0.372784406,,33.398,64.65,,,47.01393376,-97982,2.546604334,0.332225914,166906,0.044,969612981.6,,37.908
Zambia,44.6,34.953,10.01547432,59.26353455,25.37223441,4.379,0.431897,18137764931,951.6443167,-0.824682415,84.24269059,46.41564568,0.396927536,,61.184,62.38,87.5,212142427.4,100.932458,8156,1.808276181,16.76646707,66070,3.62,1203448374,4.627,44.629
Zimbabwe,52.7,31.009,22.23332405,,,3.545,1.31038,26867936445,1730.413489,-1.342368126,102.7272395,15.09726784,0.466893107,4.977770426,66.054,61.124,,242179591.8,84.1862743,-89440,3.581673817,31.85185185,9261,2.67,31937527.41,,32.242
